2482,連宇股份有限公司,	38430938,2001/09/19
2483,百容電子股份有限公司,	52753108,2001/09/17
2484,希華晶體科技股份有限公司,	22771229,2001/09/17
2485,兆赫電子股份有限公司,	12320400,2001/09/17
2486,一詮精密工業股份有限公司,	35866232,2001/09/19
2488,漢平電子工業股份有限公司,	68889236,2001/09/17
2489,瑞軒科技股份有限公司,	84929896,2001/09/17
2491,吉祥全球實業股份有限公司,	89380545,2001/09/19
2492,華新科技股份有限公司,	19004316,2001/09/17
2493,揚博科技股份有限公司,	30929883,2002/01/23
2495,普安科技股份有限公司,	84166074,2002/03/25
2496,卓越成功股份有限公司,	22099786,2002/03/08
2497,怡利電子工業股份有限公司,	59334664,2002/02/04
2498,宏達國際電子股份有限公司,	16003518,2002/03/26
2501,國泰建設股份有限公司,	03374306,1967/10/28
2504,國產建材實業股份有限公司,	24060203,1978/03/14
2505,國揚實業股份有限公司,	11603817,1979/11/14
2506,太平洋建設股份有限公司,	11099009,1980/02/02
2509,全坤建設開發股份有限公司,	04921056,1988/05/20
2511,太子建設開發股份有限公司,	72058206,1991/04/24
2514,龍邦國際興業股份有限公司,	22817273,1992/09/26
2515,中華工程股份有限公司,	75094900,1993/03/02
2516,新亞建設開發股份有限公司,	11762504,1993/05/25
2520,冠德建設股份有限公司,	30900892,1993/10/27
2524,京城建設股份有限公司,	06667446,1994/10/18
2527,宏璟建設股份有限公司,	22344508,1995/03/06
2528,皇普建設股份有限公司,	81271967,1995/03/10
2530,大華建設股份有限公司,	11059409,1995/10/12
2534,宏盛建設股份有限公司,	22221180,1996/02/12
2535,達欣工程股份有限公司,	18997007,1996/03/11
2536,宏普建設股份有限公司,	23113054,1996/03/14
2537,聯上開發股份有限公司,	22659295,1996/09/06
2538,基泰建設股份有限公司,	12251662,1996/11/01
2539,櫻花建設股份有限公司,	22491640,1997/07/16
2540,愛山林建設開發股份有限公司,	22190686,1989/12/26
2542,興富發建設股份有限公司,	12305479,1999/05/03
2543,皇昌營造股份有限公司,	34342717,1999/10/15
2545,皇翔建設股份有限公司,	86379024,2000/09/11
2546,根基營造股份有限公司,	43876760,2000/09/11
2547,日勝生活科技股份有限公司,	12373243,2000/12/22
2548,華固建設股份有限公司,	23358846,2002/08/26
